dataset,method,seed,head,m,documents,kernel_nmse,output_nmse,negative_kernel_fraction,nonpositive_denominator_fraction,invalid_output_rows,row_l1,denominator_nmse,near_cancellation_fraction
internal,aderf,1120,"[27, 6]",64,256,1.0008045295343602,2.475495021206367,0.0,0.0,0,1.581334002807022,1.0001273033132034,0.0
internal,aderf,1157,"[14, 0]",64,256,5054.915755707072,3.318035908906489,0.0,0.0,0,0.8302188734844622,3142.676575990049,0.0
internal,aderf,1157,"[14, 6]",64,256,1.121052971706643,1.8314964889234386,0.0,0.0,0,1.1872042469374449,1.0782858871704621,0.0
internal,aderf,1157,"[27, 0]",64,256,2.097691477197565,1.1801780894753737,0.0,0.0,0,1.5273165906385802,1.22826409291971,0.0
internal,aderf,1157,"[27, 6]",64,256,1.3479729979902428,2.696182643402555,0.0,0.0,0,1.553077266328905,1.1536967076749851,0.0
internal,partition,,"[14, 0]",64,256,0.7574935555168578,0.8557924250551554,0.0,0.0,0,0.25252178500185274,0.6690820876766166,0.0
internal,partition,,"[14, 6]",64,256,0.9940845252763341,0.4926295226120061,0.0,0.0,0,0.5861386239970723,0.9770064384122941,0.0
internal,partition,,"[27, 0]",64,256,0.9512109543916318,0.2829393623935633,0.0,0.0,0,1.0283500788968318,0.5034937525899473,0.0
internal,partition,,"[27, 6]",64,256,0.9414066229510533,0.42270386329175685,0.0,0.0,0,0.9756382214148462,0.486365530433844,0.0
internal,galerkin,,"[14, 0]",64,256,0.7450909963192237,2.434013797749155,0.19355277717113495,0.00032806396484375,0,0.24821888510289178,0.6536491505588476,0.0
internal,galerkin,,"[14, 6]",64,256,0.9874623960454276,0.3908538000006774,0.26467689871788025,0.0001068115234375,0,0.4550770837400047,0.9239647754150477,0.0
internal,galerkin,,"[27, 0]",64,256,0.813883488948955,7.461224847750685,0.202382430434227,0.00035858154296875,0,0.7853711834785835,0.22462579420988207,0.0
internal,galerkin,,"[27, 6]",64,256,0.7960551290035836,359.9878778818684,0.19059352576732635,0.00087738037109375,0,1.0335002944449314,0.21933785872869602,0.0
internal,favor_plus,pooled_5_blocks,"[14, 0]",640,256,0.9999846971407911,1.316187328037671,0.0,0.0,0,0.33495746475533683,0.9999878976373425,0.0
internal,favor_plus,pooled_5_blocks,"[14, 6]",640,256,4.357634705965601,1.2647376300452386,0.0,0.0,0,0.8494219755304397,2.728824588720522,0.0
internal,favor_plus,pooled_5_blocks,"[27, 0]",640,256,1.0000359348940624,0.8073077500991752,0.0,0.0,0,1.473382042430874,0.9999668449225828,0.0
internal,favor_plus,pooled_5_blocks,"[27, 6]",640,256,1.0000277232182122,3.0490679937841305,0.0,0.0,0,1.5469883045662771,0.9999034374566756,0.0
internal,centered_favor_plus,pooled_5_blocks,"[14, 0]",640,256,1.7436030833466416,1.1559140511893347,0.0,0.0,0,0.2829574424206824,1.4357070710415298,0.0
internal,centered_favor_plus,pooled_5_blocks,"[14, 6]",640,256,45.51121649524195,1.416168754847195,0.0,0.0,0,0.9497107593134868,14.729781302759532,0.0
