dataset,samples_per_marginal,pairs_per_head,head,m,signed_floor_lower,signed_floor_upper,compression_residual_fraction,positive_nmse,partition_projection_nmse,mean_estimation_gap,positive_idiv_per_mass,train_galerkin_signed_nmse,train_anchor_nystrom_signed_nmse,log_raw_second_moment
internal,32768,1073741824,L14H6,16,0.011134630450561381,0.29237912332434435,0.28124449287378295,0.32221551812346855,0.32210842793460803,0.00010709018886036235,0.975976643856833,0.3120370798873768,0.31741221369301453,-2.0607772124130843
internal,32768,1073741824,L14H6,32,0.005773982510657342,0.28701847538444025,0.2812444928737829,0.3205868549290223,0.32029909191628275,0.00028776301273949817,0.9114606637250591,0.3118600183741561,0.3296994421009989,-2.0607772124130843
internal,32768,1073741824,L14H6,64,0.0019514241935430774,0.283195917067326,0.28124449287378295,0.3198271178159136,0.319168078026598,0.000659039789315356,0.8294969141706174,0.31245857827000173,0.34376076986202125,-2.0607772124130843
internal,32768,1073741824,L14H6,128,0.00027801694297316083,0.2815225098167559,0.2812444928737828,0.3192296974913748,0.31824275890244047,0.0009869385889336461,0.752339163736784,0.3138587937614036,0.388128891488731,-2.0607772124130843
internal,32768,1073741824,L27H0,16,0.015356964197238974,0.5093760518880531,0.49401908769081415,0.9214638562311883,0.9197850085272568,0.0016788477039317317,1.1101559139128143,0.7725647903480096,0.8045639578460335,13.374754751040141
internal,32768,1073741824,L27H0,32,0.007154000684483726,0.501173088375298,0.4940190876908142,0.9185101478640483,0.9156372190334389,0.002872928830609514,1.0073827023251842,0.755931382447554,0.7367289447589992,13.374754751040141
internal,32768,1073741824,L27H0,64,0.0024100948886013407,0.4964291825794155,0.49401908769081415,0.9162572704490347,0.9127946491912317,0.0034626212578030896,0.89721044567216,0.7461909728314542,0.7297906924280189,13.374754751040141
internal,32768,1073741824,L27H0,128,0.0003729384581162489,0.4943920261489305,0.49401908769081426,0.9144850051100284,0.9106469683972258,0.003838036712802536,0.8236715735836064,0.7431272054074443,0.7453171791550776,13.374754751040141
internal,32768,1073741824,L27H6,16,0.03729334946834784,0.27541042058059834,0.2381170711122505,0.6469382600413757,0.6390550522656299,0.007883207775745856,1.0346292593786777,0.35559420960403626,0.4228075236557599,17.261300959040963
internal,32768,1073741824,L27H6,32,0.014932617069496106,0.25304968818174656,0.23811707111225044,0.6359301513491737,0.6262982585550543,0.009631892794119343,0.8583241274661956,0.32551311790184134,0.3939986041598921,17.261300959040963
internal,32768,1073741824,L27H6,64,0.004532378855592872,0.24264944996784338,0.2381170711122505,0.6274469544209343,0.6165083252353498,0.010938629185584577,0.798462292205186,0.31257509283393015,0.3986415231414299,17.261300959040963
internal,32768,1073741824,L27H6,128,0.0006376853771933129,0.2387547564894437,0.2381170711122504,0.624283136555809,0.6110994947232269,0.013183641832582103,0.7244197934816692,0.3058863706644667,0.4319515871210637,17.261300959040963
internal,131072,17179869184,L14H0,16,0.0007923917906517071,0.16642900559295595,0.16563661380230424,0.2718942970329921,0.2707545437759411,0.001139753257050521,0.4487852679108052,0.17144137505973858,0.19405923085038848,0.28035995217022247
internal,131072,17179869184,L14H0,32,0.00016559192212643994,0.16580220572443066,0.1656366138023042,0.22054438176749944,0.21855139560194992,0.0019929861655492253,0.3656239235190745,0.17129151114046443,1.4983157739413906,0.28035995217022247
internal,131072,17179869184,L14H0,64,4.478951040514931e-05,0.16568140331270953,0.16563661380230438,0.2065490600260428,0.20337450194470666,0.0031745580813359823,0.3003494280816566,0.17172238499482154,1.531004684418273,0.28035995217022247
internal,131072,17179869184,L14H0,128,5.797644823189098e-06,0.16564241144712752,0.16563661380230432,0.20328245484317584,0.19934677757967537,0.003935677263499828,0.2508218732339144,0.17180030700867427,7.010199077917488,0.28035995217022247
internal,131072,17179869184,L14H6,16,0.006248646998232132,0.4537521654421487,0.44750351844391656,0.4693033231953576,0.46925900072150484,4.4322473852764623e-05,0.8665594713289031,0.47051337991759645,0.47174400163827507,-1.6636806191881561
internal,131072,17179869184,L14H6,32,0.0033601922428253624,0.4508637106867419,0.44750351844391656,0.46815731560686913,0.4680508406779259,0.00010647492894325176,0.8088863428682136,0.47592195535435433,0.4733372983859851,-1.6636806191881561
internal,131072,17179869184,L14H6,64,0.001285780147787762,0.4487892985917044,0.44750351844391667,0.4676562612841022,0.46736196357348003,0.00029429771062204895,0.7346103337684007,0.4776358095613762,0.48714982556619596,-1.6636806191881561
internal,131072,17179869184,L14H6,128,0.00019142967905406852,0.44769494812297056,0.4475035184439165,0.4672798584008883,0.46688959224756055,0.0003902661533276735,0.6687967029387122,0.4793719385114526,0.5256890572575732,-1.6636806191881561
internal,131072,17179869184,L27H0,16,0.043347640794486254,0.46111300252524856,0.4177653617307623,0.7980923685001348,0.7962351892389373,0.0018571792611975254,1.0951949050698606,0.5526471507143726,0.6715560191077452,12.445413592801964
internal,131072,17179869184,L27H0,32,0.019797758219244604,0.43756311995000685,0.41776536173076223,0.7905412835861951,0.7881017435045525,0.0024395400816426822,0.9932133106619173,0.5256347711743983,0.7528943139935779,12.445413592801964
internal,131072,17179869184,L27H0,64,0.006677600872862012,0.42444296260362435,0.41776536173076234,0.7842004236075844,0.781123435198499,0.003076988409085274,0.8848286474528784,0.5123278922694695,0.7319921353476319,12.445413592801964
internal,131072,17179869184,L27H0,128,0.0010730956354381418,0.41883845736620046,0.41776536173076234,0.7795995964771218,0.7759799875421971,0.0036196089349247924,0.8122919632633047,0.5071933307563775,0.7784648896712816,12.445413592801964
internal,131072,17179869184,L27H6,16,0.0403020836227986,0.30210099165986776,0.2617989080370692,0.6764414241266774,0.6628396602308713,0.013601763895806187,1.024376298143383,0.3579283892189094,0.42917069956440473,17.42094091290422
internal,131072,17179869184,L27H6,32,0.01650574883559879,0.27830465687266803,0.26179890803706923,0.6674977673963145,0.6525644759600242,0.014933291436290193,0.850476731957662,0.3308226434413819,0.39898244497900126,17.42094091290422
internal,131072,17179869184,L27H6,64,0.005118082269570956,0.26691699030664007,0.2617989080370691,0.6608479866292619,0.6444379284969189,0.016410058132342933,0.7904361288127927,0.31808501779777004,0.40174319937531894,17.42094091290422
internal,131072,17179869184,L27H6,128,0.000742164193666596,0.26254107223073575,0.2617989080370692,0.6584147241752653,0.6404483508520141,0.01796637332325125,0.7178599551658817,0.3121851187228054,0.43014166995478414,17.42094091290422
official,2560,6553600,L14H0,16,0.00023362936429189516,0.007530444548912928,0.007296815184621033,0.0899670690842312,0.04266146274506742,0.04730560633916384,0.11741638835220669,0.03152954869802388,0.03326429215631561,1.2966746570939574
official,2560,6553600,L14H0,32,6.176613970225995e-05,0.007358581324323305,0.007296815184621045,0.03467854348704157,0.03047486329793682,0.004203680189104348,0.10227771611014247,0.031322889122765166,0.05211345784415229,1.2966746570939574
official,2560,6553600,L14H0,64,1.1209967568072469e-05,0.007308025152189267,0.007296815184621195,0.030717405414638427,0.026088054168242177,0.004629351246395869,0.08462744739658819,0.03165650267094606,0.052455843416895784,1.2966746570939574
official,2560,6553600,L14H0,128,7.483250541707951e-07,0.007297563509675331,0.00729681518462116,0.03015445482940953,0.02491864910970437,0.005235805719704404,0.07152775496326827,0.03169747166385706,0.14043397556656462,1.2966746570939574
official,2560,6553600,L14H6,16,0.006371104582425385,0.17849494468198954,0.17212384009956416,0.2992855157458664,0.29908641861949425,0.00019909712637218135,0.49699658295656657,0.2902764256647463,0.2891659196380411,-0.5966248906652236
