source,m,method,layer,head,relative_error,log_absolute_mse
product,32,FAVOR_plus,7,9,1.0,24.014807422743672
product,32,FAVOR_plus,14,0,0.9998759494164027,0.2857927110678844
product,32,FAVOR_plus,14,3,0.9999999998305356,13.835194975173222
product,32,FAVOR_plus,14,6,0.9998670217498403,-2.0887984199620604
product,32,FAVOR_plus,14,9,1.0045263726611922,-1.533954212328224
product,32,FAVOR_plus,27,0,1.0000425046276997,11.119299540247615
product,32,FAVOR_plus,27,3,1.0001687351870991,11.636667813315276
product,32,FAVOR_plus,27,6,1.0016350170713362,16.60191137477667
product,32,FAVOR_plus,27,9,1.27891058664679,12.22229416853562
product,32,centered_FAVOR_plus,0,0,0.99999999836009,4191.436673924331
product,32,centered_FAVOR_plus,0,3,1.0,48516.048081540495
product,32,centered_FAVOR_plus,0,6,1.0,7821.488646390419
product,32,centered_FAVOR_plus,0,9,1.0015860975917494,243.63489842879792
product,32,centered_FAVOR_plus,7,0,4.483963486283603,1.4422277534704282
product,32,centered_FAVOR_plus,7,3,2.6951068449104563,-0.6510946542131659
product,32,centered_FAVOR_plus,7,6,24.94738604563891,47.06098816450875
product,32,centered_FAVOR_plus,7,9,1.0542967095392854,24.06768134134866
product,32,centered_FAVOR_plus,14,0,1.6980185964608154,0.8153788091548524
product,32,centered_FAVOR_plus,14,3,1.0000020053345209,13.835196980675198
product,32,centered_FAVOR_plus,14,6,22.384312523588264,1.0196949468748517
product,32,centered_FAVOR_plus,14,9,3.927064036461847,-0.17057828959641164
product,32,centered_FAVOR_plus,27,0,15.74665005578775,13.87588468430147
product,32,centered_FAVOR_plus,27,3,220.4823533665376,17.032316753962952
product,32,centered_FAVOR_plus,27,6,51.495090166866994,20.541764159449762
product,32,centered_FAVOR_plus,27,9,1316.509471615097,19.159024730633995
product,64,SVD,0,0,2.463541198733716e-34,4114.050380590695
product,64,SVD,0,3,1.5041485942162247e-36,48433.5632452127
product,64,SVD,0,6,1.974003160726952e-167,7437.636999402602
product,64,SVD,0,9,9.295829685528948e-33,169.8775713976046
product,64,SVD,7,0,5.178604554918631e-05,-9.926669444527285
product,64,SVD,7,3,1.282718861331375e-05,-12.90647603275173
product,64,SVD,7,6,2.357726711559723e-08,26.28123626855013
product,64,SVD,7,9,1.404953140495108e-05,12.841885908042181
product,64,SVD,14,0,1.3742779020571094e-05,-10.90908026459152
product,64,SVD,14,3,1.8922618945396145e-08,-3.947712885498335
product,64,SVD,14,6,0.0004661500394718979,-9.759668435414698
product,64,SVD,14,9,1.132102566175499e-05,-12.92731925490393
product,64,SVD,27,0,0.0022312018424248434,5.014042140627003
product,64,SVD,27,3,0.002782429154444288,5.752068156107486
product,64,SVD,27,6,0.0011304214493567143,9.81511294113138
product,64,SVD,27,9,0.007348112842571205,7.062973802343448
product,64,NMF,0,0,1.169664990415063e-08,4173.172710556849
product,64,NMF,0,3,4.226114644391482e-13,48487.555758378745
product,64,NMF,0,6,2.1374692502514998e-34,7743.960375764499
product,64,NMF,0,9,8.198139127046866e-08,227.31654003656854
product,64,NMF,7,0,7.965866094474821e-05,-9.496039398577482
product,64,NMF,7,3,1.5493608738037942e-05,-12.717615461950905
product,64,NMF,7,6,4.382329989815428e-07,29.20370400864354
product,64,NMF,7,9,2.562203468183121e-05,13.442749575808504
product,64,NMF,14,0,1.5560337432991e-05,-10.784868584177902
product,64,NMF,14,3,4.2483628100366514e-08,-3.138952081057935
product,64,NMF,14,6,0.0005384605989776956,-9.6154616650151
product,64,NMF,14,9,1.53471211018427e-05,-12.623053023661695
product,64,NMF,27,0,0.003806465883079414,5.548202926459156
product,64,NMF,27,3,0.004532805635801354,6.240084906811314
product,64,NMF,27,6,0.0017798767165734147,10.269066515461807
